cts,date,ACCL_x,ACCL_y,ACCL_z,temp_ACCL,GYRO_x,GYRO_y,GYRO_z,temp_GYRO,GRAV_x,GRAV_y,GRAV_z,CORI_w,CORI_x,CORI_y,CORI_z,GPS (Lat.) [deg],GPS (Long.) [deg],GPS (Alt.) [m],GPS (2D) [m/s],GPS (3D) [m/s],GPS (days) [deg],GPS (secs) [s],GPS (DOP) [deg],GPS (fix) [deg],altitude system
0.000000,2026-05-06T18:03:16.900Z,36.21,2.34,19.86,,0.014,-0.111,0.049,,0.438232421875,7.18701171875,3.4853515625,0.999969481490524,-0.001098666341135899,0.00018311105685598315,0.0004577776421399579,25.4913158,51.457256,9.548,0.122,0.008,9622,64996.9,1.47,3,MSLV
4.931034,2026-05-06T18:03:16.900Z,37.14,2.26,19.38,,0.012,-0.123,0.05,,,,,,,,,,,,,,,,,,
9.862069,2026-05-06T18:03:16.900Z,38.01,2.49,18.75,,0.012,-0.126,0.049,,,,,,,,,,,,,,,,,,
14.793103,2026-05-06T18:03:16.900Z,37.84,2.02,20.21,,0.004,-0.12,0.052,,,,,,,,,,,,,,,,,,
16.683333,2026-05-06T18:03:16.900Z,,,,,,,,,0.43212890625,7.1943359375,3.470947265625,0.999969481490524,-0.002227851191747795,0.00027466658528397473,0.0008850367748039186,,,,,,,,,,
19.724138,2026-05-06T18:03:16.900Z,36.2,1.74,20.02,,0.011,-0.141,0.049,,,,,,,,,,,,,,,,,,
24.655172,2026-05-06T18:03:16.900Z,34.24,2.04,17.81,,0.01,-0.167,0.046,,,,,,,,,,,,,,,,,,
29.586207,2026-05-06T18:03:16.900Z,33.92,1.55,17.56,,0.004,-0.163,0.05,,,,,,,,,,,,,,,,,,
33.366667,2026-05-06T18:03:16.900Z,,,,,,,,,0.42724609375,7.203125,3.453369140625,0.999969481490524,-0.0035706656086916715,0.0003357036042359691,0.0013122959074678793,,,,,,,,,,
34.517241,2026-05-06T18:03:16.900Z,34.96,1.59,17.49,,0.015,-0.145,0.041,,,,,,,,,,,,,,,,,,
39.448276,2026-05-06T18:03:16.900Z,36.76,2.2,20.37,,0.002,-0.141,0.028,,,,,,,,,,,,,,,,,,
44.379310,2026-05-06T18:03:16.900Z,38.16,2.78,20.35,,0.007,-0.165,0.03,,,,,,,,,,,,,,,,,,
49.310345,2026-05-06T18:03:16.900Z,38.52,3.15,19.15,,-0.002,-0.188,0.033,,,,,,,,,,,,,,,,,,
50.050000,2026-05-06T18:03:16.900Z,,,,,,,,,0.4248046875,7.213623046875,3.431640625,0.999969481490524,-0.005035554063539537,0.0003967406231879635,0.0016174810022278512,,,,,,,,,,
54.241379,2026-05-06T18:03:16.900Z,37.46,2.95,18.06,,0.001,-0.184,0.038,,,,,,,,,,,,,,,,,,
59.172414,2026-05-06T18:03:16.900Z,35.63,2.48,17.99,,0.006,-0.17,0.04,,,,,,,,,,,,,,,,,,
64.103448,2026-05-06T18:03:16.900Z,34.45,3.35,18.05,,-0.007,-0.179,0.034,,,,,,,,,,,,,,,,,,
66.733333,2026-05-06T18:03:16.900Z,,,,,,,,,0.421142578125,7.2236328125,3.410888671875,0.999969481490524,-0.006622516556291391,0.0003662221137119663,0.0019531846064638203,,,,,,,,,,
69.034483,2026-05-06T18:03:16.900Z,33.7,4.63,18.38,,-0.024,-0.189,0.042,,,,,,,,,,,,,,,,,,
73.965517,2026-05-06T18:03:16.900Z,35.15,2.88,19.16,,-0.013,-0.19,0.063,,,,,,,,,,,,,,,,,,
78.896552,2026-05-06T18:03:16.900Z,35.83,3.3,18.03,,0.006,-0.187,0.048,,,,,,,,,,,,,,,,,,
83.416667,2026-05-06T18:03:16.900Z,,,,,,,,,0.419189453125,7.23486328125,3.387451171875,0.999938962981048,-0.008331553086947234,0.00027466658528397473,0.0023194067201757866,,,,,,,,,,
83.827586,2026-05-06T18:03:16.900Z,36.86,1.47,21.12,,-0.014,-0.196,0.032,,,,,,,,,,,,,,,,,,
88.758621,2026-05-06T18:03:16.900Z,36.73,4.83,19.18,,0.001,-0.221,0.01,,,,,,,,,,,,,,,,,,
93.689655,2026-05-06T18:03:16.900Z,37.39,6.36,19.67,,-0.025,-0.229,0.052,,,,,,,,,,,,,,,,,,
98.620690,2026-05-06T18:03:16.900Z,37.37,2.75,18.58,,-0.017,-0.231,0.099,,,,,,,,,,,,,,,,,,
100.100000,2026-05-06T18:03:17.000Z,,,,,,,,,0.410400390625,7.248291015625,3.359619140625,0.999938962981048,-0.010315256202887051,0.00015259254737998596,0.0028077028717917417,25.4913157,51.4572559,9.533,0.11,0.013,9622,64997,1.47,3,MSLV
103.551724,2026-05-06T18:03:17.000Z,35.15,2.12,18.55,,-0.019,-0.236,0.076,,,,,,,,,,,,,,,,,,
108.482759,2026-05-06T18:03:17.000Z,33.31,4.36,17.68,,-0.012,-0.242,0.054,,,,,,,,,,,,,,,,,,
113.413793,2026-05-06T18:03:17.000Z,34.11,4.71,17.58,,-0.018,-0.241,0.077,,,,,,,,,,,,,,,,,,
116.783333,2026-05-06T18:03:17.000Z,,,,,,,,,0.402587890625,7.26220703125,3.33056640625,0.999908444471572,-0.012421033356730858,0,0.00347911008026368,,,,,,,,,,
118.344828,2026-05-06T18:03:17.000Z,36.59,3.75,18.31,,-0.02,-0.234,0.097,,,,,,,,,,,,,,,,,,
123.275862,2026-05-06T18:03:17.000Z,38.32,4.26,18.72,,-0.018,-0.232,0.094,,,,,,,,,,,,,,,,,,
128.206897,2026-05-06T18:03:17.000Z,38.8,5.09,19.14,,-0.023,-0.241,0.102,,,,,,,,,,,,,,,,,,
133.137931,2026-05-06T18:03:17.000Z,38.3,4.47,17.81,,-0.027,-0.255,0.128,,,,,,,,,,,,,,,,,,
133.466667,2026-05-06T18:03:17.000Z,,,,,,,,,0.388916015625,7.27734375,3.298583984375,0.999877925962096,-0.014557329020050662,-0.00018311105685598315,0.004425183874019593,,,,,,,,,,
138.068966,2026-05-06T18:03:17.000Z,36.49,3.65,16.96,,-0.032,-0.257,0.141,,,,,,,,,,,,,,,,,,
143.000000,2026-05-06T18:03:17.000Z,34.34,4.08,16,,-0.027,-0.25,0.141,,,,,,,,,,,,,,,,,,
147.931034,2026-05-06T18:03:17.000Z,33.79,3.91,16.39,,-0.029,-0.234,0.153,,,,,,,,,,,,,,,,,,
150.150000,2026-05-06T18:03:17.000Z,,,,,,,,,0.36865234375,7.2919921875,3.2685546875,0.999816888943144,-0.016754661702322458,-0.0004272591326639607,0.005706961272011475,,,,,,,,,,
152.862069,2026-05-06T18:03:17.000Z,34.66,3.22,16.59,,-0.026,-0.231,0.171,,,,,,,,,,,,,,,,,,
157.793103,2026-05-06T18:03:17.000Z,35.92,3.06,17,,-0.028,-0.232,0.173,,,,,,,,,,,,,,,,,,
162.724138,2026-05-06T18:03:17.000Z,36.77,3.76,16.76,,-0.023,-0.233,0.171,,,,,,,,,,,,,,,,,,
166.833333,2026-05-06T18:03:17.000Z,,,,,,,,,0.344970703125,7.306396484375,3.239013671875,0.999786370433668,-0.01879940183721427,-0.0006714072084719382,0.007263405255287332,,,,,,,,,,
167.655172,2026-05-06T18:03:17.000Z,37.5,3.79,16.86,,-0.022,-0.228,0.184,,,,,,,,,,,,,,,,,,
172.586207,2026-05-06T18:03:17.000Z,38.13,2.87,17.17,,-0.018,-0.224,0.204,,,,,,,,,,,,,,,,,,
177.517241,2026-05-06T18:03:17.000Z,37.06,2.07,16.82,,-0.018,-0.225,0.21,,,,,,,,,,,,,,,,,,
182.448276,2026-05-06T18:03:17.000Z,35.26,1.88,15.83,,-0.013,-0.232,0.208,,,,,,,,,,,,,,,,,,
183.516667,2026-05-06T18:03:17.000Z,,,,,,,,,0.317626953125,7.320556640625,3.20947265625,0.999725333414716,-0.020813623462630087,-0.0008239997558519242,0.009063997314371167,,,,,,,,,,
187.379310,2026-05-06T18:03:17.000Z,34.3,1.82,15.05,,-0.005,-0.226,0.208,,,,,,,,,,,,,,,,,,
